mode likelihood,mean likelihood, true likelihood
-5.34691,-5.42308,-5.37421
-5.34186,-5.39024,-5.37421
-5.32171,-5.37739,-5.37421
-5.33706,-5.34664,-5.37421
-5.38505,-5.51363,-5.37421
-5.32401,-5.37531,-5.37421
-5.29281,-5.30273,-5.37421
-5.39417,-5.33462,-5.37421
-5.34104,-5.31894,-5.37421
-5.40715,-5.42828,-5.37421
-5.37576,-5.39659,-5.37421
-5.37704,-5.41581,-5.37421
-5.43963,-5.31436,-5.37421
-5.45552,-5.27635,-5.37421
-5.41289,-5.37227,-5.37421
-5.35586,-5.29911,-5.37421
-5.46865,-5.29785,-5.37421
-5.31732,-5.28061,-5.37421
-5.34669,-5.35757,-5.37421
-5.34156,-5.38519,-5.37421
-5.35069,-5.23185,-5.37421
-5.40562,-5.32361,-5.37421
-5.3,-5.3761,-5.37421
-5.25123,-5.36399,-5.37421
-5.26687,-5.42786,-5.37421
-5.36242,-5.31162,-5.37421
-5.2802,-5.36969,-5.37421
-5.39972,-5.36412,-5.37421
-5.34966,-5.39742,-5.37421
-5.3518,-5.29801,-5.37421
-5.29321,-5.27907,-5.37421
-5.34657,-5.43294,-5.37421
-5.33145,-5.31286,-5.37421
-5.3323,-5.27699,-5.37421
-5.3815,-5.38646,-5.37421
-5.37267,-5.35325,-5.37421
-5.27649,-5.39783,-5.37421
-5.29825,-5.36607,-5.37421
-5.3418,-5.27745,-5.37421
-5.37702,-5.43667,-5.37421
-5.25472,-5.28177,-5.37421
-5.3585,-5.40665,-5.37421
-5.40075,-5.25253,-5.37421
-5.33108,-5.30616,-5.37421
-5.44904,-5.42798,-5.37421
-5.37118,-5.32428,-5.37421
-5.31785,-5.46927,-5.37421
-5.42763,-5.38131,-5.37421
-5.32896,-5.33467,-5.37421
-5.26986,-5.39271,-5.37421
-5.33478,-5.32583,-5.37421
-5.34461,-5.40291,-5.37421
-5.31259,-5.32614,-5.37421
-5.40477,-5.43663,-5.37421
-5.31737,-5.3361,-5.37421
-5.28509,-5.35201,-5.37421
-5.38629,-5.35283,-5.37421
-5.37004,-5.32849,-5.37421
-5.40202,-5.34138,-5.37421
-5.31435,-5.3364,-5.37421
-5.32178,-5.37939,-5.37421
-5.2722,-5.22264,-5.37421
-5.32056,-5.33986,-5.37421
-5.37374,-5.28801,-5.37421
-5.31854,-5.3404,-5.37421
-5.39317,-5.34586,-5.37421
-5.37068,-5.30464,-5.37421
-5.27037,-5.42553,-5.37421
-5.3911,-5.2703,-5.37421
-5.44524,-5.38507,-5.37421
-5.37084,-5.41661,-5.37421
-5.36336,-5.29103,-5.37421
-5.31847,-5.36546,-5.37421
-5.36673,-5.29115,-5.37421
-5.45073,-5.38054,-5.37421
-5.37109,-5.36638,-5.37421
-5.34399,-5.35329,-5.37421
-5.38278,-5.3441,-5.37421
-5.40154,-5.26408,-5.37421
-5.32812,-5.40201,-5.37421
-5.37792,-5.32122,-5.37421
-5.32523,-5.37204,-5.37421
-5.37891,-5.43421,-5.37421
-5.32025,-5.30262,-5.37421
-5.4035,-5.31768,-5.37421
-5.32525,-5.30715,-5.37421
-5.3227,-5.24145,-5.37421
-5.38455,-5.30733,-5.37421
-5.26751,-5.38329,-5.37421
-5.42699,-5.3756,-5.37421
-5.45633,-5.30822,-5.37421
-5.42982,-5.32495,-5.37421
-5.41247,-5.32762,-5.37421
-5.30422,-5.38622,-5.37421
-5.46122,-5.34914,-5.37421
-5.27227,-5.40283,-5.37421
-5.29259,-5.30324,-5.37421
-5.29771,-5.25734,-5.37421
-5.29273,-5.33533,-5.37421
-5.36357,-5.37265,-5.37421
-5.31247,-5.3904,-5.37421
-5.37036,-5.34174,-5.37421
-5.3304,-5.31005,-5.37421
-5.34534,-5.33472,-5.37421
-5.33259,-5.33716,-5.37421
-5.29344,-5.38808,-5.37421
-5.36779,-5.26856,-5.37421
-5.32656,-5.35043,-5.37421
-5.36641,-5.27543,-5.37421
-5.33456,-5.42985,-5.37421
-5.31532,-5.41551,-5.37421
-5.24586,-5.35144,-5.37421
-5.38559,-5.30108,-5.37421
-5.36027,-5.29824,-5.37421
-5.22341,-5.2988,-5.37421
-5.29163,-5.35995,-5.37421
-5.38945,-5.29509,-5.37421
-5.47318,-5.44052,-5.37421
-5.35034,-5.31091,-5.37421
-5.34192,-5.32374,-5.37421
-5.26962,-5.37037,-5.37421
-5.37662,-5.30609,-5.37421
-5.36844,-5.27847,-5.37421
-5.34347,-5.41367,-5.37421
-5.49234,-5.31819,-5.37421
-5.30714,-5.34718,-5.37421
-5.43129,-5.35458,-5.37421
-5.54057,-5.33354,-5.37421
-5.44312,-5.29899,-5.37421
-5.30812,-5.32664,-5.37421
-5.34406,-5.36731,-5.37421
-5.42768,-5.28985,-5.37421
-5.30071,-5.31754,-5.37421
-5.44279,-5.29362,-5.37421
-5.41351,-5.29266,-5.37421
-5.43925,-5.2558,-5.37421
-5.54479,-5.29091,-5.37421
-5.51792,-5.29671,-5.37421
-5.52674,-5.27916,-5.37421
-5.47994,-5.30811,-5.37421
-5.41748,-5.26339,-5.37421
-5.49605,-5.3659,-5.37421
-5.3899,-5.25455,-5.37421
-5.39307,-5.37892,-5.37421
-5.35989,-5.28634,-5.37421
-5.41033,-5.3568,-5.37421
-5.42808,-5.36777,-5.37421
-5.38331,-5.3192,-5.37421
-5.3944,-5.3198,-5.37421
-5.45662,-5.26493,-5.37421
-5.43009,-5.28593,-5.37421
-5.38616,-5.28659,-5.37421
-5.37723,-5.3606,-5.37421
-5.38882,-5.28162,-5.37421
-5.38757,-5.36894,-5.37421
-5.43305,-5.34541,-5.37421
-5.39782,-5.36938,-5.37421
-5.35744,-5.28667,-5.37421
-5.41472,-5.34728,-5.37421
-5.38007,-5.32333,-5.37421
-5.37804,-5.37908,-5.37421
-5.34143,-5.26205,-5.37421
-5.28362,-5.45155,-5.37421
-5.41434,-5.40633,-5.37421
-5.41477,-5.34352,-5.37421
-5.41143,-5.39557,-5.37421
-5.52666,-5.40334,-5.37421
-5.5375,-5.29639,-5.37421
-5.42253,-5.3627,-5.37421
-5.47988,-5.31754,-5.37421
-5.48572,-5.37116,-5.37421
-5.44165,-5.37687,-5.37421
-5.39199,-5.37121,-5.37421
-5.39668,-5.36524,-5.37421
-5.36275,-5.40067,-5.37421
-5.39506,-5.34251,-5.37421
-5.37837,-5.37589,-5.37421
-5.47944,-5.32153,-5.37421
-5.34207,-5.31457,-5.37421
-5.39033,-5.30349,-5.37421
-5.45974,-5.38723,-5.37421
-5.35761,-5.30937,-5.37421
-5.36938,-5.38851,-5.37421
-5.43822,-5.33204,-5.37421
-5.33022,-5.36857,-5.37421
-5.36007,-5.25796,-5.37421
-5.43006,-5.28619,-5.37421
-5.39788,-5.27535,-5.37421
-5.39579,-5.47271,-5.37421
-5.32932,-5.37163,-5.37421
-5.42969,-5.33012,-5.37421
-5.3113,-5.29021,-5.37421
-5.44503,-5.37774,-5.37421
-5.38281,-5.28187,-5.37421
-5.42453,-5.37469,-5.37421
-5.36143,-5.43048,-5.37421
-5.22706,-5.34209,-5.37421
-5.4326,-5.33184,-5.37421
-5.44762,-5.35182,-5.37421
-5.39648,-5.33065,-5.37421
-5.34657,-5.35857,-5.37421
-5.29151,-5.35881,-5.37421
-5.40214,-5.4947,-5.37421
-5.402,-5.33353,-5.37421
-5.35306,-5.3581,-5.37421
-5.42589,-5.32767,-5.37421
-5.30246,-5.38367,-5.37421
-5.34835,-5.25339,-5.37421
-5.45361,-5.2969,-5.37421
-5.35831,-5.46122,-5.37421
-5.31505,-5.33353,-5.37421
-5.40898,-5.33529,-5.37421
-5.3375,-5.48527,-5.37421
-5.55663,-5.42205,-5.37421
-5.47458,-5.35745,-5.37421
-5.32051,-5.30226,-5.37421
-5.3563,-5.37191,-5.37421
-5.33026,-5.35765,-5.37421
-5.43117,-5.30873,-5.37421
-5.33228,-5.3248,-5.37421
-5.43864,-5.26775,-5.37421
-5.46261,-5.42162,-5.37421
-5.29495,-5.38522,-5.37421
-5.41883,-5.32428,-5.37421
-5.49481,-5.36757,-5.37421
-5.45375,-5.38641,-5.37421
-5.39489,-5.26329,-5.37421
-5.37104,-5.3534,-5.37421
-5.36154,-5.35676,-5.37421
-5.29613,-5.32968,-5.37421
-5.39181,-5.39572,-5.37421
-5.46238,-5.40998,-5.37421
-5.41868,-5.37953,-5.37421
-5.37814,-5.30925,-5.37421
-5.3303,-5.44321,-5.37421
-5.3598,-5.36277,-5.37421
-5.41785,-5.3343,-5.37421
-5.33733,-5.34489,-5.37421
-5.30208,-5.38904,-5.37421
-5.4203,-5.3631,-5.37421
-5.41969,-5.36595,-5.37421
-5.46461,-5.4046,-5.37421
-5.31575,-5.39458,-5.37421
-5.4002,-5.2648,-5.37421
-5.43216,-5.33965,-5.37421
-5.39907,-5.30023,-5.37421
-5.38466,-5.35642,-5.37421
-5.35409,-5.36123,-5.37421
-5.32261,-5.28718,-5.37421
-5.31233,-5.36847,-5.37421
-5.4774,-5.24333,-5.37421
-5.33985,-5.3604,-5.37421
-5.47548,-5.24793,-5.37421
-5.43216,-5.27728,-5.37421
-5.37636,-5.34571,-5.37421
-5.46277,-5.42595,-5.37421
-5.48483,-5.41446,-5.37421
-5.37491,-5.26326,-5.37421
-5.3769,-5.33665,-5.37421
-5.35459,-5.27064,-5.37421
-5.39385,-5.21038,-5.37421
-5.51616,-5.34577,-5.37421
-5.46845,-5.30224,-5.37421
-5.36506,-5.29894,-5.37421
-5.34084,-5.50749,-5.37421
-5.33487,-5.25051,-5.37421
-5.33551,-5.30474,-5.37421
-5.36865,-5.39364,-5.37421
-5.4154,-5.30342,-5.37421
-5.39884,-5.35863,-5.37421
-5.4607,-5.28962,-5.37421
-5.46747,-5.3621,-5.37421
-5.38955,-5.37768,-5.37421
-5.46625,-5.3461,-5.37421
-5.28436,-5.278,-5.37421
-5.39695,-5.37823,-5.37421
-5.34464,-5.27295,-5.37421
-5.4168,-5.32464,-5.37421
-5.42665,-5.37715,-5.37421
-5.37417,-5.36,-5.37421
-5.38335,-5.30214,-5.37421
-5.38415,-5.34347,-5.37421
-5.49484,-5.31464,-5.37421
-5.37541,-5.342,-5.37421
-5.35953,-5.36059,-5.37421
-5.44879,-5.32551,-5.37421
-5.40347,-5.32418,-5.37421
-5.51517,-5.38797,-5.37421
-5.43066,-5.27654,-5.37421
-5.39664,-5.30937,-5.37421
-5.36929,-5.27997,-5.37421
-5.42233,-5.40791,-5.37421
-5.37735,-5.31958,-5.37421
-5.47815,-5.307,-5.37421
-5.42196,-5.23823,-5.37421
-5.35836,-5.42206,-5.37421
-5.38885,-5.30432,-5.37421
-5.41081,-5.40525,-5.37421
-5.40617,-5.34345,-5.37421
-5.49288,-5.39191,-5.37421
-5.35779,-5.28056,-5.37421
-5.40915,-5.25705,-5.37421
-5.32401,-5.30386,-5.37421
-5.28179,-5.33491,-5.37421
-5.35532,-5.29705,-5.37421
-5.38058,-5.41629,-5.37421
-5.3101,-5.37118,-5.37421
-5.34484,-5.33315,-5.37421
-5.29573,-5.32335,-5.37421
-5.4155,-5.27617,-5.37421
-5.40063,-5.20549,-5.37421
-5.37774,-5.26286,-5.37421
-5.3421,-5.35919,-5.37421
-5.41932,-5.31383,-5.37421
-5.42765,-5.30289,-5.37421
-5.24743,-5.31236,-5.37421
-5.34511,-5.36089,-5.37421
-5.31068,-5.34567,-5.37421
-5.30109,-5.36861,-5.37421
-5.37091,-5.41376,-5.37421
-5.39232,-5.3561,-5.37421
-5.4072,-5.18615,-5.37421
-5.3925,-5.29573,-5.37421
-5.38057,-5.23766,-5.37421
-5.38418,-5.29558,-5.37421
-5.29998,-5.30998,-5.37421
-5.32225,-5.25632,-5.37421
-5.31133,-5.42433,-5.37421
-5.43649,-5.55334,-5.37421
-5.35159,-5.37222,-5.37421
-5.378,-5.34997,-5.37421
-5.42468,-5.34803,-5.37421
-5.33228,-5.41233,-5.37421
-5.34334,-5.37318,-5.37421
-5.33134,-5.25775,-5.37421
-5.36574,-5.20014,-5.37421
-5.37628,-5.24461,-5.37421
-5.3496,-5.36455,-5.37421
-5.42092,-5.37357,-5.37421
-5.25959,-5.29225,-5.37421
-5.38187,-5.32562,-5.37421
-5.41016,-5.33335,-5.37421
-5.34987,-5.34979,-5.37421
-5.28095,-5.37199,-5.37421
-5.35951,-5.28487,-5.37421
-5.38797,-5.41075,-5.37421
-5.24698,-5.3708,-5.37421
-5.36873,-5.35307,-5.37421
-5.37764,-5.40038,-5.37421
-5.38261,-5.2847,-5.37421
-5.36439,-5.4207,-5.37421
-5.40785,-5.33071,-5.37421
-5.31211,-5.33417,-5.37421
-5.34328,-5.31253,-5.37421
-5.4194,-5.31438,-5.37421
-5.43115,-5.29224,-5.37421
-5.24155,-5.28992,-5.37421
-5.33186,-5.28726,-5.37421
-5.29489,-5.33618,-5.37421
-5.41183,-5.33612,-5.37421
-5.38863,-5.39863,-5.37421
-5.38905,-5.28199,-5.37421
-5.40785,-5.29058,-5.37421
-5.34078,-5.3343,-5.37421
-5.35287,-5.43419,-5.37421
-5.41873,-5.41081,-5.37421
-5.39295,-5.32175,-5.37421
-5.27016,-5.42683,-5.37421
-5.33896,-5.27903,-5.37421
-5.45596,-5.2445,-5.37421
-5.37796,-5.39566,-5.37421
-5.3744,-5.34127,-5.37421
-5.4258,-5.38916,-5.37421
-5.35061,-5.28604,-5.37421
-5.41365,-5.29307,-5.37421
-5.41879,-5.25804,-5.37421
-5.33475,-5.36975,-5.37421
-5.3481,-5.33004,-5.37421
-5.37908,-5.2587,-5.37421
-5.47552,-5.3591,-5.37421
-5.32485,-5.31441,-5.37421
-5.32838,-5.30137,-5.37421
-5.38496,-5.33775,-5.37421
-5.28575,-5.30874,-5.37421
-5.38033,-5.29703,-5.37421
-5.39648,-5.39975,-5.37421
-5.31499,-5.40131,-5.37421
-5.3803,-5.37843,-5.37421
-5.36404,-5.32005,-5.37421
-5.38407,-5.29441,-5.37421
-5.25696,-5.31313,-5.37421
-5.26982,-5.34813,-5.37421
-5.45532,-5.35476,-5.37421
-5.41817,-5.27629,-5.37421
-5.37962,-5.32046,-5.37421
-5.31317,-5.46221,-5.37421
-5.37583,-5.37152,-5.37421
-5.2996,-5.28393,-5.37421
-5.30524,-5.38014,-5.37421
-5.4228,-5.31657,-5.37421
-5.28482,-5.38585,-5.37421
-5.30525,-5.3478,-5.37421
-5.36022,-5.4217,-5.37421
-5.3239,-5.39675,-5.37421
-5.38792,-5.3375,-5.37421
-5.33665,-5.39504,-5.37421
-5.37954,-5.34563,-5.37421
-5.34397,-5.28708,-5.37421
-5.31693,-5.28186,-5.37421
-5.25179,-5.31603,-5.37421
-5.48076,-5.27364,-5.37421
-5.33941,-5.39731,-5.37421
-5.36127,-5.37883,-5.37421
-5.38776,-5.24314,-5.37421
-5.3583,-5.36954,-5.37421
-5.42134,-5.39434,-5.37421
-5.36861,-5.40247,-5.37421
-5.31211,-5.31263,-5.37421
-5.33168,-5.30942,-5.37421
-5.39116,-5.33917,-5.37421
-5.29945,-5.35664,-5.37421
-5.32406,-5.37694,-5.37421
-5.37931,-5.32634,-5.37421
-5.309,-5.38808,-5.37421
-5.31304,-5.38279,-5.37421
-5.52563,-5.31376,-5.37421
-5.34255,-5.32361,-5.37421
-5.28099,-5.29381,-5.37421
-5.39918,-5.34856,-5.37421
-5.39905,-5.46421,-5.37421
-5.32376,-5.36113,-5.37421
-5.36212,-5.22005,-5.37421
-5.34872,-5.36078,-5.37421
-5.34573,-5.32688,-5.37421
