nof_samples,trace_0
265,0.0357113
266,0.0357113
267,0.0357113
268,0.0357113
269,0.0357113
270,0.0357113
271,0.0357113
272,0.0357113
273,0.0357113
274,0.0357113
275,0.0357113
276,0.0357113
277,0.0357113
278,0.0357113
279,0.0357113
280,0.0357113
281,0.0357113
282,0.0357113
283,0.0357113
284,0.0357113
285,0.0334637
286,0.0334637
287,0.0334637
288,0.0334637
289,0.0334637
290,0.0334637
291,0.0334637
292,0.0334637
293,0.0334637
294,0.0334637
295,0.0334637
296,0.0334637
297,0.0334637
298,0.0334637
299,0.0334637
300,0.0334637
301,0.0334637
302,0.0334637
303,0.0334637
304,0.0334637
305,0.0334637
306,0.0334637
307,0.0334637
308,0.0334637
309,0.0334637
310,0.0334637
311,0.0334637
312,0.0334637
313,0.0334637
314,0.0334637
315,0.0334637
316,0.0334637
317,0.0334637
318,0.0334637
319,0.0334637
320,0.0334637
321,0.0334637
322,0.0334637
323,0.0334637
324,0.0334637
325,0.0334637
326,0.0334637
327,0.0334637
328,0.0334637
329,0.0334637
330,0.0334637
331,0.0334637
332,0.0334637
333,0.0336866
334,0.0336866
335,0.0336866
336,0.0336866
337,0.0336866
338,0.0336866
339,0.0336866
340,0.0336866
341,0.0336866
342,0.0336866
343,0.0336866
344,0.0336866
345,0.0336866
346,0.0336866
347,0.0336866
348,0.0336866
349,0.0336866
350,0.0336866
351,0.0336866
352,0.0336866
353,0.0336866
354,0.0336866
355,0.0336866
356,0.0336866
357,0.0336866
358,0.0336866
359,0.0336866
360,0.0336866
361,0.0336866
362,0.0336866
363,0.0336866
364,0.0336866
365,0.0336866
366,0.0336866
367,0.0336866
368,0.0336866
369,0.0336866
370,0.0336866
371,0.030662
372,0.030662
373,0.030662
374,0.030662
375,0.030662
376,0.030662
377,0.030662
378,0.030662
379,0.030662
380,0.030662
381,0.030662
382,0.030662
383,0.030662
384,0.030662
385,0.030662
386,0.030662
387,0.030662
388,0.030662
389,0.030662
390,0.030662
391,0.030662
392,0.030662
393,0.030662
394,0.030662
395,0.030662
396,0.030662
397,0.030662
398,0.030662
399,0.030662
400,0.030662
401,0.030662
402,0.030662
403,0.030662
404,0.030662
405,0.030662
406,0.030662
407,0.030662
408,0.030662
409,0.030662
410,0.030662
411,0.030662
412,0.030662
413,0.030662
414,0.030662
415,0.030662
416,0.030662
417,0.030662
418,0.030662
419,0.030662
420,0.030662
421,0.030662
422,0.030662
423,0.030662
424,0.030662
425,0.030662
426,0.030662
427,0.030662
428,0.030662
429,0.030662
430,0.030662
431,0.030662
432,0.030662
433,0.030662
434,0.030662
435,0.030662
436,0.030662
437,0.030662
438,0.030662
439,0.030662
440,0.030662
441,0.030662
442,0.030662
443,0.030662
444,0.030662
445,0.030662
446,0.030662
447,0.030662
448,0.030662
449,0.030662
450,0.030662
451,0.030662
452,0.030662
453,0.030662
454,0.030662
455,0.030662
456,0.030662
457,0.030662
458,0.030662
459,0.030662
460,0.030662
461,0.030662
462,0.030662
463,0.030662
464,0.030662
465,0.030662
466,0.030662
467,0.030662
468,0.030662
469,0.030662
470,0.030662
471,0.030662
472,0.030662
473,0.030662
474,0.030662
475,0.030662
476,0.030662
477,0.030662
478,0.030662
479,0.030662
480,0.030662
481,0.030662
482,0.030662
483,0.030662
484,0.030662
485,0.030662
486,0.030662
487,0.030662
488,0.030662
489,0.030662
490,0.0308757
491,0.0308757
492,0.0335509
493,0.0335509
494,0.0335509
495,0.0335509
496,0.0335509
497,0.0335509
498,0.0335509
499,0.0335509
500,0.0335509
501,0.0335509
502,0.0335509
503,0.0335509
504,0.0335509
505,0.0335509
506,0.0335509
507,0.0335509
508,0.0335509
509,0.0335509
510,0.0335509
511,0.0335509
512,0.0335509
513,0.0335509
514,0.0335509
515,0.0335509
516,0.0335509
517,0.0335509
518,0.0335509
519,0.0335509
520,0.0335509
521,0.0335509
522,0.0335509
523,0.0335509
524,0.0335509
525,0.0335509
526,0.0335509
527,0.0335509
528,0.0335509
529,0.0335509
530,0.0335509
531,0.0335509
532,0.0335509
533,0.0335509
534,0.0335509
535,0.0335509
536,0.0335509
537,0.0335509
538,0.0335509
539,0.0335509
