nof_samples,trace_0
630,-97.9442
631,-97.294
632,-97.1731
633,-97.2238
634,-94.9899
635,-93.6024
636,-92.2156
637,-92.4517
638,-93.169
639,-92.091
640,-91.9818
641,-90.9431
642,-92.2865
643,-91.9782
644,-91.0996
645,-91.0033
646,-89.8621
647,-91.3879
648,-91.2069
649,-92.3214
650,-92.9961
651,-93.8021
652,-94.5179
653,-95.0051
654,-95.0768
655,-95.6202
656,-95.6202
657,-96.0639
658,-95.5622
659,-95.4468
660,-95.2524
661,-95.1524
662,-95.0213
663,-94.8411
664,-95.0216
665,-99.3229
666,-101.493
667,-102.477
668,-103.244
669,-103.05
670,-103.654
671,-104.002
672,-103.668
673,-103.753
674,-103.709
675,-103.627
676,-103.424
677,-103.305
678,-100.158
679,-98.3946
680,-97.4082
681,-97.1429
682,-97.0108
683,-96.8356
684,-96.843
685,-96.9807
686,-96.8079
687,-96.738
688,-96.5989
689,-96.0999
690,-95.6439
691,-95.3689
692,-100.431
693,-101.45
694,-103.08
695,-102.952
696,-102.731
697,-102.245
698,-102.147
699,-102.166
700,-102.077
701,-102.17
702,-102.213
703,-102.286
704,-102.382
705,-102.101
706,-102.34
707,-102.532
708,-100.093
709,-99.4677
710,-99.292
711,-99.2989
712,-99.3366
713,-99.3072
714,-99.1924
715,-99.3381
716,-99.2929
717,-99.2691
718,-99.2702
719,-99.2021
720,-99.096
721,-99.1819
722,-99.2175
723,-99.2387
724,-99.1706
725,-102.656
726,-103.76
727,-103.562
728,-104.15
729,-104.606
730,-105.541
731,-105.09
732,-105.105
733,-104.918
734,-104.181
735,-104.97
736,-104.773
737,-104.78
738,-104.93
739,-104.486
740,-104.657
741,-104.711
742,-100.496
743,-98.9883
744,-98.4435
745,-98.1955
746,-98.2975
747,-98.8322
748,-98.7563
749,-99.0336
750,-98.9737
751,-98.8083
752,-99.0098
753,-99.1565
754,-99.1559
755,-99.0051
756,-98.8162
757,-98.628
758,-98.7567
759,-98.5674
760,-99.2435
761,-99.4207
762,-99.4933
763,-99.5227
764,-99.5501
765,-99.5627
766,-99.5614
767,-99.5596
768,-99.5545
769,-99.5416
770,-99.5402
771,-99.5468
772,-99.5471
773,-99.5446
774,-99.5489
775,-99.5448
776,-98.7012
777,-97.871
778,-97.8468
779,-98.2923
780,-98.5336
781,-97.6705
782,-96.9167
783,-96.6048
784,-97.1407
785,-96.9058
786,-96.9736
787,-97.1377
788,-97.4358
789,-97.3575
790,-97.4366
791,-97.8198
792,-97.2094
793,-98.4291
794,-99.0309
795,-99.1411
796,-99.1462
797,-99.3906
798,-99.2806
799,-99.3379
800,-99.2978
801,-99.3593
802,-99.4445
803,-99.3926
804,-99.3136
805,-99.3929
806,-99.3756
807,-99.3452
808,-99.286
809,-99.2229
810,-98.1517
811,-97.7527
812,-97.4827
813,-97.3378
814,-97.6544
815,-97.7201
816,-97.7341
817,-97.7265
818,-97.3831
819,-97.2246
820,-97.2704
821,-97.1613
822,-97.2441
823,-97.1148
824,-97.3608
825,-97.3977
826,-97.3266
827,-97.0416
828,-96.9759
829,-96.3695
830,-96.8017
831,-96.9034
832,-96.4431
833,-96.519
834,-96.6502
835,-97.031
836,-96.7914
837,-96.9505
838,-97.2816
839,-97.0398
840,-96.9868
841,-96.5679
842,-97.1569
843,-97.0005
844,-97.2191
845,-98.0182
846,-97.5909
847,-96.5653
848,-96.7615
849,-97.4332
850,-97.7535
851,-97.7345
852,-96.7851
853,-95.8768
854,-96.453
855,-96.6418
856,-96.7945
857,-96.3525
858,-96.6867
859,-96.5562
860,-96.3336
861,-95.7665
862,-99.7952
863,-100.74
864,-100.896
865,-100.831
866,-101.002
867,-100.87
868,-100.792
869,-100.729
870,-100.733
871,-100.706
872,-100.661
873,-100.524
874,-100.63
875,-100.895
876,-95.9191
877,-94.9758
878,-93.3856
879,-93.4318
880,-93.6342
881,-93.4887
882,-92.8317
883,-93.9285
884,-93.5543
885,-94.2363
886,-94.4253
887,-95.0863
888,-94.568
889,-93.9331
890,-94.6184
891,-94.0489
892,-100.711
893,-102.797
894,-102.813
895,-103.35
896,-103.339
897,-102.659
898,-103.061
899,-103.201
900,-103.754
901,-103.895
902,-103.866
903,-103.478
904,-104.057
905,-104.071
906,-103.379
907,-103.064
908,-102.909
909,-103.134
910,-103.237
911,-98.4073
912,-97.3391
913,-97.5964
914,-97.0544
915,-96.8878
916,-97.4284
917,-97.0409
918,-96.9002
919,-97.4988
920,-97.3692
921,-96.9579
922,-97.0172
923,-95.908
924,-95.9747
925,-97.0194
926,-96.7488
927,-96.0536
928,-95.4418
929,-95.3535
930,-95.8774
931,-96.6117
932,-96.8248
933,-96.8191
934,-96.5306
935,-96.5439
936,-96.165
937,-96.1966
938,-96.7108
939,-97.1474
940,-96.7871
941,-96.9536
942,-96.5844
943,-96.6312
944,-96.5657
945,-96.8751
946,-96.367
947,-96.3659
948,-96.299
