nof_samples,trace_0
615,0.0143297
616,0.0156635
617,0.0158584
618,0.0152574
619,0.0151563
620,0.0173577
621,0.0181775
622,0.0185976
623,0.0178907
624,0.0201698
625,0.0193401
626,0.0173331
627,0.0167975
628,0.0158646
629,0.0165069
630,0.017023
631,0.0179205
632,0.0153092
633,0.0174281
634,0.01838
635,0.0152269
636,0.0121334
637,0.00771568
638,0.00743861
639,0.00814814
640,0.00845175
641,0.00770381
642,0.00671506
643,0.00835508
644,0.0078826
645,0.00779351
646,0.00720064
647,0.0099058
648,0.00760962
649,0.00729566
650,0.00775793
651,0.00829561
652,0.00847922
653,0.0088597
654,0.00947076
655,0.00972098
656,0.0114797
657,0.0122134
658,0.0132647
659,0.0144478
660,0.0139464
661,0.0188746
662,0.0199968
663,0.0193181
664,0.0181043
665,0.0200439
666,0.0197665
667,0.0198959
668,0.0191484
669,0.0174641
670,0.0174761
671,0.0189581
672,0.0152143
673,0.0148605
674,0.0138957
675,0.0146251
676,0.0138046
677,0.01346
678,0.0121015
679,0.0121171
680,0.013015
681,0.0120242
682,0.0117019
683,0.01134
684,0.011321
685,0.0114538
686,0.0120554
687,0.0126254
688,0.0115042
689,0.0121071
690,0.012437
691,0.0112636
692,0.0112783
693,0.0111368
694,0.0112379
695,0.0112485
696,0.0109778
697,0.0114165
698,0.00977488
699,0.0111018
700,0.0119099
701,0.0119934
702,0.0121597
703,0.0122898
704,0.011534
705,0.010042
706,0.01121
707,0.0109133
708,0.0105928
709,0.0121352
710,0.0107831
711,0.0115532
712,0.0115236
713,0.0137972
714,0.0112875
715,0.0117818
716,0.00958641
717,0.0112378
718,0.0110492
719,0.0109787
720,0.0118372
721,0.010882
722,0.0117805
723,0.0107631
724,0.0117297
725,0.0107119
726,0.0102898
727,0.0116376
728,0.00912335
729,0.0105667
730,0.00978608
731,0.00939644
732,0.00995371
733,0.00985654
734,0.0110802
735,0.0112046
736,0.00989729
737,0.00976683
738,0.00966661
739,0.0100309
740,0.0106232
741,0.0111548
742,0.00935822
743,0.0107561
744,0.0111464
745,0.0106396
746,0.0103115
747,0.00990476
748,0.0109204
749,0.00963147
750,0.00983953
751,0.00971996
752,0.0101113
753,0.0105918
754,0.00950012
755,0.00949312
756,0.00868289
757,0.0085204
758,0.00935872
759,0.0104144
760,0.00976306
761,0.0105959
762,0.0105811
763,0.0104503
764,0.0100127
765,0.01016
766,0.00947474
767,0.00953399
768,0.0091027
769,0.00978278
770,0.00839614
771,0.00929422
772,0.0101197
773,0.00867556
774,0.00959017
775,0.00786281
776,0.00941694
777,0.00944493
778,0.00826478
779,0.0102071
780,0.00883706
781,0.00935741
782,0.00898741
783,0.00986964
784,0.0104834
785,0.00937691
786,0.0100172
787,0.00882219
788,0.00893793
789,0.010322
790,0.0111362
791,0.0113582
792,0.00893244
793,0.00882944
794,0.00973073
795,0.00903804
796,0.00900387
797,0.0108111
798,0.0105883
799,0.0109727
800,0.0102762
801,0.010581
802,0.0089259
803,0.0110003
804,0.00980736
805,0.0114336
806,0.0113619
807,0.0130503
808,0.0115246
809,0.0116523
810,0.0106556
811,0.0101461
812,0.00941333
813,0.010771
814,0.0103293
815,0.0087372
816,0.00842349
817,0.00854988
818,0.0107343
819,0.0105645
820,0.0102649
821,0.0101252
822,0.00984722
823,0.00884056
824,0.0104237
825,0.0102695
826,0.0118623
827,0.01118
828,0.0109097
829,0.00996842
830,0.0109681
831,0.00989554
832,0.00853636
833,0.0100526
834,0.0101838
835,0.0107394
836,0.0114772
837,0.0114276
838,0.0112298
839,0.0114579
840,0.00976986
841,0.01074
842,0.0115148
843,0.0115365
844,0.011289
845,0.00995894
846,0.012116
847,0.0132614
848,0.0135279
849,0.0127329
850,0.0136612
851,0.0136909
852,0.0144786
853,0.014031
854,0.0142973
855,0.0145432
856,0.0153103
857,0.0129256
858,0.0129486
859,0.013283
860,0.0123008
861,0.0118129
862,0.0122515
863,0.013108
864,0.0145595
865,0.0152739
866,0.0152676
867,0.0137286
868,0.0146767
869,0.0156859
870,0.0198982
871,0.0184943
872,0.0193753
873,0.0195485
874,0.0183325
875,0.0169791
876,0.0185153
877,0.013406
878,0.0100737
879,0.00873531
880,0.00799897
881,0.00972838
882,0.0100866
883,0.00927055
884,0.00974917
885,0.00959577
886,0.00960594
887,0.00896747
888,0.00902024
889,0.0101138
890,0.00952399
891,0.00995149
892,0.00938703
893,0.00871643
894,0.00941387
895,0.00833482
896,0.00825532
897,0.00935792
898,0.00976923
899,0.00965642
900,0.00805236
901,0.00848762
902,0.00956167
903,0.00833253
904,0.00752645
905,0.00874786
906,0.00891499
907,0.00960942
908,0.00808451
909,0.00915999
910,0.0090305
911,0.00800727
912,0.00900371
913,0.00872768
914,0.00914422
915,0.00945161
916,0.010664
917,0.0109281
918,0.0111282
919,0.0100866
920,0.0101074
921,0.00902796
922,0.00923275
923,0.0101535
924,0.0106131
925,0.011011
926,0.00943854
927,0.00916351
928,0.00882459
929,0.00895835
930,0.0103339
931,0.0106154
932,0.0114185
933,0.0113697
934,0.0107869
935,0.0116838
936,0.0105854
937,0.0096281
938,0.0123945
939,0.0106893
940,0.00993441
941,0.00999279
942,0.00875521
943,0.00876627
944,0.00959028
945,0.0111842
946,0.0094606
947,0.0115209
948,0.0102348
949,0.0110498
950,0.0111061
951,0.0115526
952,0.0101507
953,0.0121887
954,0.0122599
955,0.0110015
956,0.0101549
957,0.0115181
958,0.0120232
959,0.0113638
960,0.0119742
961,0.0114762
962,0.0115075
963,0.00985651
964,0.00965195
965,0.00797674
966,0.010711
967,0.00971486
968,0.00864955
969,0.0100315
970,0.0100852
971,0.0102095
972,0.00936279
973,0.00933756
974,0.00966214
975,0.00902846
976,0.0089866
977,0.00931269
978,0.0106479
979,0.00916689
980,0.00990411
981,0.00955487
982,0.00981803
983,0.00983417
984,0.0098477
985,0.0100879
986,0.0101121
987,0.00930099
988,0.0104076
989,0.0104024
990,0.00859741
991,0.00825739
992,0.00964321
993,0.00934756
994,0.00936064
995,0.00951273
996,0.0104094
997,0.0087268
998,0.0101389
999,0.00939593
1000,0.00833703
1001,0.00765666
1002,0.00894126
1003,0.00874183
1004,0.00862279
1005,0.00852217
1006,0.0085445
1007,0.00896274
1008,0.00947047
1009,0.0100373
1010,0.00940556
1011,0.00915219
1012,0.00895777
1013,0.00876312
1014,0.00934865
1015,0.009071
1016,0.00938585
1017,0.00955499
1018,0.00797053
1019,0.00840578
1020,0.00840929
1021,0.00792307
1022,0.00799801
1023,0.00767406
1024,0.00858316
1025,0.00776834
1026,0.00964898
1027,0.0105713
1028,0.0100504
1029,0.0100234
1030,0.00971823
1031,0.0101093
1032,0.0096031
1033,0.00898368
1034,0.00908415
1035,0.00831023
1036,0.0084587
1037,0.00933855
1038,0.0101181
1039,0.00878517
1040,0.00907943
1041,0.00889808
1042,0.00952254
1043,0.0110187
1044,0.00820594
1045,0.00904572
1046,0.00765494
1047,0.0073934
1048,0.00723912
1049,0.00819503
1050,0.00991374
